"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00155",3889.69914192983,-2.11580843152646,0.0668126308454419,-31.6677910262354,4.31518445736396e-220,5.39666637115974e-219
"EFEADKAH_00495",1690.26069122419,-2.11022114941803,0.0758492997046034,-27.8212344429853,2.40138132675183e-170,2.240793597161e-169
"EFEADKAH_00186",25694.2521686269,-2.10519254276801,0.0506957001652781,-41.526057158786,0,0
"EFEADKAH_00898",3107.81813018665,-2.10383992460623,0.0622921988677203,-33.7737303040756,4.79462026265333e-250,6.88142165316055e-249
"EFEADKAH_02067",16105.6854515133,-2.10280462833366,0.0754785184517903,-27.8596436637368,8.23113211951662e-171,7.70454416404444e-170
"EFEADKAH_00472",64.3930635245405,-2.09097289550349,0.258730656989658,-8.08165881783025,6.38916490265803e-16,1.42538438316886e-15
"EFEADKAH_01667",7000.61413003941,-2.09033750936209,0.056007833039399,-37.3222350504372,7.15450014878291e-305,1.28355139573998e-303
"EFEADKAH_00455",14040.0119019469,-2.09024839330757,0.0522823550564868,-39.9799969042946,0,0
"EFEADKAH_01948",39.8935839542698,-2.08555592343212,0.329079792091808,-6.33753871720655,2.33464554593201e-10,4.49337271739405e-10
"EFEADKAH_00656",1491.40176317075,-2.07294071967586,0.0747704661804578,-27.7240577138149,3.58157961221561e-169,3.33175338000551e-168
"EFEADKAH_00335",158.516322120906,-2.07080984603215,0.182702278283887,-11.3343405757342,8.86976293531055e-30,2.51254374878064e-29
"EFEADKAH_01400",2834.32166313586,-2.06951276700894,0.0770768757093542,-26.8499825396761,8.43854361665215e-159,7.43677498847649e-158
"EFEADKAH_01827",2408.48624271656,-2.06606161328136,0.0700041289195714,-29.5134250674711,1.93642169413825e-191,2.04785087232726e-190
"EFEADKAH_02691",11742.9191333621,-2.06269144587119,0.0927781208047491,-22.2325202103641,1.66518669729432e-109,1.10547856952535e-108
"EFEADKAH_01296",279.828867212054,-2.06068780323181,0.152825590929552,-13.4839184373363,1.94496714824891e-41,6.60894135831141e-41
"EFEADKAH_01642",1115.43958142836,-2.04928090691922,0.0871182429862346,-23.5229825197809,2.37372300971885e-122,1.69134778990369e-121
"EFEADKAH_02627",3465.45232758209,-2.04911393667928,0.0643480682813329,-31.844218348878,1.58271006288713e-222,1.99593645587523e-221
"EFEADKAH_00498",1968.80594243025,-2.03709742551021,0.0891917890815763,-22.8395174767382,1.85765489311189e-115,1.27830407484914e-114
"EFEADKAH_01448",6432.79733294082,-2.03583562445253,0.0555628151292868,-36.6402533729694,6.54205556409887e-294,1.10155058492704e-292
"EFEADKAH_00897",4268.44202860196,-2.03563950193106,0.0621142009960134,-32.7725297804556,1.45038904873471e-235,1.93427990835682e-234
"EFEADKAH_01800",467.061484717138,-2.02183723573094,0.110156340919372,-18.3542519555076,3.05261994796062e-75,1.54892197359483e-74
"EFEADKAH_00674",3175.83363922788,-2.02152974466317,0.0707827694156248,-28.5596305619675,2.13288366255464e-179,2.08717901264275e-178
"EFEADKAH_02600",7344.64920632903,-2.01504521431915,0.0603625950220024,-33.3823490124084,2.47300967916721e-244,3.45076443194905e-243
"EFEADKAH_01486",34767.9042203863,-2.01391491934415,0.0556145545428858,-36.2120120514706,3.93956335064202e-287,6.41829402099192e-286
"EFEADKAH_00896",11789.2823508908,-2.01020963019564,0.0535933732095168,-37.5085483486358,6.68281487463187e-308,1.22072751709942e-306
"EFEADKAH_00133",3478.88577185962,-2.00243298173648,0.0662068711786463,-30.2450930860832,6.05303792510207e-201,6.78210271608091e-200
"EFEADKAH_01472",5867.3540983669,-1.99855259142397,0.0724241398387848,-27.5951167093281,1.2734609099255e-167,1.17018633613276e-166
"EFEADKAH_01453",407.316432187275,-1.99103953636856,0.111944966884222,-17.7858781130176,9.09276249549567e-71,4.39897049140031e-70
"EFEADKAH_02353",87.2241806148769,-1.98791209261986,0.234787339477622,-8.46686238296648,2.52091641482983e-17,5.8177963815445e-17
"EFEADKAH_00659",297.772726911113,-1.97891558957287,0.131276062175552,-15.0744587914781,2.38461901406249e-51,9.28584200049656e-51
"EFEADKAH_02725",599.349275789553,-1.97337389266867,0.0993180670189635,-19.8692337849455,7.51410232165778e-88,4.18623001801785e-87
"EFEADKAH_02014",1481.80539297682,-1.9702490658518,0.0726798034714684,-27.1086185122288,7.79269701438787e-162,6.94887242643936e-161
"EFEADKAH_02073",255.120502199558,-1.95744091736485,0.153077685970309,-12.7872387471582,1.93217651492306e-37,6.14950371275407e-37
"EFEADKAH_01492",9452.68857553003,-1.95517699496882,0.0619616458338689,-31.5546330097659,1.54899214478811e-218,1.92126021579892e-217
"EFEADKAH_00803",13462.5070823882,-1.95480685019731,0.0593545325408705,-32.9344157306144,7.07206856384875e-238,9.60144804118925e-237
"EFEADKAH_01734",228.588580088204,-1.95290899128926,0.141238724187589,-13.8270081560314,1.75155290664506e-43,6.15289097975316e-43
"EFEADKAH_00103",4223.43484239091,-1.94814225726346,0.0811579875854433,-24.0043194172657,2.5064773079652e-127,1.85159867799194e-126
"EFEADKAH_01555",58.3220091131586,-1.93913958471927,0.266990192032826,-7.26296187120184,3.78704712994683e-13,7.89360999284907e-13
"EFEADKAH_00400",5.95717077234826,-1.93321760563015,0.834957209069337,-2.31534931926028,0.0205938227125121,0.0276111128360816
"EFEADKAH_00349",226.759919194498,-1.93016534296179,0.148242235854558,-13.0203469465713,9.37439992138264e-39,3.06115291040599e-38
